player,club,position,pos_bucket,appearances,minutes,mins_per_app,availability,value_index_v0,value_score_v0,goals_per90,assists_per90,shots_per90,shots_on_target_per90,big_chances_missed_per90,hit_woodwork_per90,offsides_per90,touches_per90,passes_per90,passes_completed_per90,crosses_per90,successful_crosses_per90,fouls_per90,through_balls_per90,carries_per90,progressive_carries_per90,carries_ended_with_goal_per90,carries_ended_with_assist_per90,carries_ended_with_shot_per90,carries_ended_with_chance_per90,possession_won_per90,dispossessed_per90,clearances_per90,interceptions_per90,blocks_per90,tackles_per90,ground_duels_per90,gduels_won_per90,aerial_duels_per90,aduels_won_per90,goals_conceded_per90,xgot_conceded_per90,own_goals_per90,yellow_cards_per90,red_cards_per90,saves_per90,penalties_saved_per90,clearances_off_line_per90,punches_per90,high_claims_per90,goals_prevented_per90,aduels_won_z,aduels_won_pctile,aerial_duels_z,aerial_duels_pctile,assists_per90_z,assists_per90_pctile,blocks_per90_z,blocks_per90_pctile,carries_ended_with_shot_per90_z,carries_ended_with_shot_per90_pctile,carries_per90_z,carries_per90_pctile,clearances_per90_z,clearances_per90_pctile,crosses_pct_z,crosses_pct_pctile,dispossessed_per90_z,dispossessed_per90_pctile,gduels_pct_z,gduels_pct_pctile,gduels_won_z,gduels_won_pctile,goals_conceded_per90_z,goals_conceded_per90_pctile,goals_per90_z,goals_per90_pctile,goals_prevented_z,goals_prevented_pctile,high_claims_per90_z,high_claims_per90_pctile,interceptions_per90_z,interceptions_per90_pctile,passes_completed_z,passes_completed_pctile,passes_per90_z,passes_per90_pctile,progressive_carries_per90_z,progressive_carries_per90_pctile,punches_per90_z,punches_per90_pctile,saves_pct_z,saves_pct_pctile,shots_on_target_per90_z,shots_on_target_per90_pctile,shots_per90_z,shots_per90_pctile,successful_crosses_per90_z,successful_crosses_per90_pctile,tackles_per90_z,tackles_per90_pctile,through_balls_per90_z,through_balls_per90_pctile,xgot_conceded_per90_z,xgot_conceded_per90_pctile
Ben White,Arsenal,DEF,CB,17,1198,70.47058823529412,1198,37.705255913716265,0.2713726839977567,0.0,0.15025041736227046,0.676126878130217,0.9015025041736227,0.0,0.0,0.07512520868113523,62.57929883138564,126.0601001669449,112.16193656093489,3.8313856427378963,0.7512520868113522,0.7512520868113522,0.3005008347245409,43.797996661101834,22.237061769616027,0.0,0.0,0.3756260434056761,1.2771285475792988,8.03839732888147,0.4507512520868113,2.8547579298831387,1.7278797996661102,0.4507512520868113,1.5025041736227045,17.353923205342237,8.714524207011687,1.2020033388981637,0.3756260434056761,0.0,0.0,0.0,0.15025041736227046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5217396366088378,0.452970297029703,-0.43778719296796004,0.46534653465346537,1.9491325943955302,0.9405940594059405,0.5245759792818679,0.8316831683168316,0.6234951737663941,0.8465346534653465,3.8751008214026363,0.995049504950495,-0.17052233385771787,0.3910891089108911,0.47326998429292816,0.7029702970297029,-0.05723387373187113,0.6732673267326733,0.7879029071038904,0.6856435643564357,1.479002834143458,0.9158415841584159,0.0,0.5024752475247525,-0.4644905565893775,0.32673267326732675,0.0,0.5024752475247525,0.0,0.5024752475247525,1.7754973990494074,0.9207920792079208,1.825728785855039,0.9455445544554455,2.939384775920835,0.9752475247524752,3.506558954507462,0.9900990099009901,0.0,0.5024752475247525,0.0,0.5024752475247525,1.3017675809659255,0.9108910891089109,0.06245595727751407,0.7277227722772277,2.37329525745673,0.9504950495049505,-0.12302410445225904,0.42574257425742573,1.3757535123488518,0.900990099009901,0.0,0.5024752475247525
Bukayo Saka,Arsenal,MID,CM,25,1735,69.4,1735,28.721095296463073,0.056032903784566546,0.3112391930835735,0.5187319884726225,3.4755043227665707,0.1037463976945245,0.414985590778098,0.0,0.3631123919308357,56.7492795389049,33.35446685878963,28.84149855907781,0.05187319884726225,0.0,0.7780979827089337,0.05187319884726225,8.662824207492795,3.5792507204610953,0.0,0.0,0.05187319884726225,0.0,2.282420749279539,2.07492795389049,0.3112391930835735,0.7780979827089337,0.7262247838616714,1.5043227665706052,3.0086455331412103,1.7636887608069165,2.3342939481268012,1.1930835734870318,0.0,0.0,0.0,0.15561959654178675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20985907055089045,0.7139737991266376,0.22157360336521956,0.6943231441048034,3.15017138429068,0.9868995633187773,1.1190077624873034,0.8951965065502183,-0.4028984971545699,0.5458515283842795,0.07074981206676044,0.6069868995633187,-0.41974542237965945,0.19213973799126638,-0.7517580635012817,0.259825327510917,0.5782556435355911,0.8951965065502183,1.0578318270344982,0.8864628820960698,-0.33642153467753483,0.43013100436681223,-0.06608186004550896,0.5,1.025992545384315,0.9082969432314411,0.06608186004550895,0.5043668122270742,-0.06608186004550899,0.5,0.30652259087467193,0.7205240174672489,0.11013335669061358,0.5633187772925764,0.15296832766923785,0.6419213973799127,-0.12713844007676275,0.537117903930131,0.0,0.5021834061135371,-0.06608186004550898,0.5,-0.4169722053364028,0.5240174672489083,1.5122600792357352,0.9388646288209607,-0.5921232566329494,0.259825327510917,-0.12877059686759482,0.37117903930131,-0.3113582315103902,0.5633187772925764,-0.06608186004550899,0.5
David Raya,Arsenal,GKP,UNK,38,3420,90.0,3420,12.379151825298521,-0.33566429145245164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.078947368421055,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.9473684210526315,0.0,0.07894736842105263,0.0,2.263157894736842,0.0,0.0,0.21052631578947367,1.394736842105263,0.05526315789473684,-0.4010982023684881,0.36259541984732824,-0.44259798226553637,0.36259541984732824,-0.39637173797993125,0.3969465648854962,-0.36898366228378304,0.37404580152671757,-0.3632509172556657,0.3931297709923664,-0.5272541070703811,0.36259541984732824,-0.20646042380220742,0.42748091603053434,-0.5166748410695049,0.37786259541984735,-0.5101127851501053,0.22137404580152673,-0.6115702999243311,0.36259541984732824,-0.5492863896542105,0.36259541984732824,1.0798650200293516,0.816793893129771,-0.6698763395782574,0.29770992366412213,1.4025408226261145,0.916030534351145,1.6565684406595464,0.9465648854961832,-0.4797634671164827,0.36259541984732824,-0.5414463040541965,0.36259541984732824,-0.5458253021458807,0.36259541984732824,-0.5226789873178924,0.36259541984732824,0.03065097521290267,0.816793893129771,2.1803938394417823,0.9618320610687023,-0.42894379876796346,0.36259541984732824,-0.3044667350042681,0.1984732824427481,-0.344242186832596,0.37786259541984735,-0.23163386546389123,0.15267175572519084,-0.3842867341007713,0.3931297709923664,1.173524424618498,0.816793893129771
Declan Rice,Arsenal,MID,CM,35,2833,80.94285714285714,2833,39.89850523631123,0.32394229480517434,0.12707377338510412,0.22237910342393222,1.5248852806212496,0.5718319802329686,0.06353688669255206,0.0,0.06353688669255206,64.04518178609248,25.065301800211788,20.363572184962937,2.00141193081539,0.22237910342393222,0.6671373102717967,0.34945287680903636,13.056830215319449,8.259795270031768,0.0953053300388281,0.06353688669255206,0.5718319802329686,0.6989057536180727,3.8439816448994,1.016590187080833,1.5884221673138017,0.41298976350158845,0.15884221673138016,1.6837274973526297,10.864807624426403,3.8439816448994,0.8259795270031769,0.3176844334627603,0.0,0.0,0.0,0.15884221673138016,0.03176844334627603,0.0,0.0,0.0,0.0,0.0,0.0,-0.3264074127366638,0.5262008733624454,-0.22351723146491456,0.5480349344978166,0.9335948012834409,0.8558951965065502,-0.23849315144486585,0.5895196506550219,0.9642191944351893,0.8733624454148472,0.5607367063247618,0.7554585152838428,0.18832215514247863,0.759825327510917,-0.04700236496770207,0.5611353711790393,-0.19138236763525196,0.462882096069869,0.12969585618813775,0.4039301310043668,1.2896158829305502,0.8995633187772926,-0.06608186004550896,0.5,0.009189004734047188,0.6157205240174672,0.06608186004550895,0.5043668122270742,-0.06608186004550899,0.5,-0.18823042704450157,0.5807860262008734,0.2720354628746476,0.6200873362445415,-0.10664055468010535,0.5327510917030568,0.8463483694559364,0.8296943231441049,0.0,0.5021834061135371,-0.06608186004550898,0.5,0.5214608850187203,0.8165938864628821,-0.028879906156759633,0.5327510917030568,0.16186780723010613,0.7205240174672489,-0.11383397550451059,0.45414847161572053,0.9348546309827048,0.8908296943231441,-0.06608186004550899,0.5
Ethan Nwaneri,Arsenal,MID,CM,26,889,34.19230769230769,889,3.914722696154653,-0.5385467181979838,0.4049493813273341,0.0,2.4296962879640045,0.0,0.0,0.30371203599550056,0.6074240719910011,60.843644544431946,0.0,0.0,0.0,0.0,0.9111361079865017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7210348706411698,0.4049493813273341,0.0,0.0,1.1136107986501687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10123734533183353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7389200921886285,0.1965065502183406,-0.8325889001798349,0.1943231441048035,-0.7296935892400636,0.25327510917030566,-0.6185338274819643,0.22489082969432314,-0.5392877079963414,0.2576419213973799,-0.895263962464219,0.1943231441048035,-0.3751299457375042,0.22270742358078602,-0.7517580635012817,0.259825327510917,0.3208996487852778,0.7991266375545851,-1.2238357679628047,0.1943231441048035,-0.9718844335128785,0.1943231441048035,-0.06608186004550896,0.5,1.5433798559731704,0.9519650655021834,0.06608186004550895,0.5043668122270742,-0.06608186004550899,0.5,-0.7478670528803572,0.1943231441048035,-0.9488968908190677,0.1943231441048035,-0.8916623198539295,0.1943231441048035,-0.8715717698906819,0.1943231441048035,0.0,0.5021834061135371,-0.06608186004550898,0.5,-0.6249663334052545,0.2096069868995633,0.6859908054023537,0.8209606986899564,-0.5921232566329494,0.259825327510917,-0.16129993264048292,0.2183406113537118,-0.5285943279565468,0.2423580786026201,-0.06608186004550899,0.5
Gabriel Jesus,Arsenal,FWD,UNK,17,603,35.470588235294116,603,36.55251784695149,0.24374290615698635,0.44776119402985076,0.0,2.985074626865672,0.0,0.44776119402985076,0.14925373134328357,1.3432835820895523,48.95522388059702,0.0,0.0,0.0,0.0,2.08955223880597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9402985074626866,1.044776119402985,0.0,0.0,1.492537313432836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5970149253731343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4010982023684881,0.36259541984732824,-0.44259798226553637,0.36259541984732824,-0.39637173797993125,0.3969465648854962,-0.36898366228378304,0.37404580152671757,-0.3632509172556657,0.3931297709923664,-0.5272541070703811,0.36259541984732824,-0.031237298628240717,0.5877862595419847,-0.5166748410695049,0.37786259541984735,0.22016339288664996,0.7862595419847328,-0.6115702999243311,0.36259541984732824,-0.5492863896542105,0.36259541984732824,-0.46885684152611423,0.4083969465648855,1.1781416544453374,0.8549618320610687,-0.24352991246110436,0.44656488549618323,-0.49381736800946396,0.3549618320610687,-0.4797634671164827,0.36259541984732824,-0.5414463040541965,0.36259541984732824,-0.5458253021458807,0.36259541984732824,-0.5226789873178924,0.36259541984732824,-0.24756119558193856,0.3931297709923664,-0.4828377966129821,0.4083969465648855,-0.42894379876796346,0.36259541984732824,0.06185559418895549,0.8244274809160306,-0.344242186832596,0.37786259541984735,-0.06686141682789822,0.8015267175572519,-0.3842867341007713,0.3931297709923664,-0.4719422647318057,0.4083969465648855
Gabriel Magalhães,Arsenal,DEF,CB,28,2365,84.46428571428571,2365,26.54536259198669,0.003883145744305788,0.11416490486257928,0.03805496828752643,0.8372093023255814,0.9513742071881607,0.1522198731501057,0.03805496828752643,0.0,72.723044397463,22.452431289640593,17.733615221987314,3.386892177589852,0.7991543340380549,0.7230443974630021,0.19027484143763213,12.824524312896406,8.219873150105709,0.0,0.11416490486257928,0.6849894291754757,0.8372093023255814,2.968287526427061,0.07610993657505286,3.386892177589852,0.19027484143763213,0.0,0.9513742071881607,7.839323467230444,2.9302325581395348,2.13107822410148,0.6469344608879493,0.0,0.0,0.0,0.1522198731501057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05229016402538458,0.6212871287128713,0.40745068497256964,0.7475247524752475,0.12515054807820422,0.7722772277227723,-0.5674040204971674,0.25,1.5539707247204895,0.9405940594059405,0.587162207504313,0.806930693069307,-0.11022288347142895,0.5495049504950495,0.7179290676638085,0.7970297029702971,-0.11646402952618161,0.33663366336633666,0.29077819925794707,0.46782178217821785,0.6756115132179832,0.7524752475247525,0.0,0.5024752475247525,0.9721129766391345,0.9207920792079208,0.0,0.5024752475247525,0.0,0.5024752475247525,-0.4852995302632653,0.4752475247524752,-0.017234416363648114,0.5891089108910891,-0.13267011031654855,0.5643564356435643,0.8286875962153492,0.8712871287128713,0.0,0.5024752475247525,0.0,0.5024752475247525,1.404440404521442,0.9257425742574258,0.2045449926164916,0.8217821782178217,2.561055594770204,0.9702970297029703,-0.20920122336286937,0.18811881188118812,0.6574533244385461,0.8316831683168316,0.0,0.5024752475247525
Gabriel Martinelli,Arsenal,MID,CM,33,2300,69.6969696969697,2300,25.005682268917205,-0.03302118360746906,0.3130434782608696,0.1565217391304348,2.152173913043478,0.46956521739130436,0.3130434782608696,0.0,0.3130434782608696,42.37826086956522,13.460869565217392,9.234782608695653,0.3521739130434783,0.0391304347826087,0.6260869565217392,0.46956521739130436,7.121739130434783,4.304347826086956,0.0391304347826087,0.0782608695652174,0.5869565217391305,0.23478260869565218,2.582608695652174,1.4869565217391305,0.6260869565217392,0.391304347826087,0.11739130434782609,0.9,9.273913043478261,4.343478260869565,2.8173913043478263,0.9782608695652174,0.0,0.0,0.0,0.0391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2923616064412834,0.7292576419213974,0.8540711054922523,0.8165938864628821,0.441013494077474,0.7248908296943232,-0.33766724438289475,0.5414847161572053,1.0039858625067482,0.8820960698689956,-0.10110054256406958,0.537117903930131,-0.26984621399293884,0.33624454148471616,-0.04700236496770207,0.5611353711790393,0.1506746029096152,0.7117903930131004,0.593763841611318,0.5545851528384279,1.1027150303319198,0.8624454148471615,-0.06608186004550896,0.5,1.0359542611050037,0.9126637554585153,0.06608186004550895,0.5043668122270742,-0.06608186004550899,0.5,-0.217616029136886,0.5589519650655022,-0.4993804548257498,0.4148471615720524,-0.47008049845442507,0.42358078602620086,0.023671462591904405,0.6026200873362445,0.0,0.5021834061135371,-0.06608186004550898,0.5,0.31643317668028775,0.7860262008733624,0.46672665407902886,0.7554585152838428,-0.4594489284389099,0.5458515283842795,-0.179084433665599,0.1572052401746725,1.4378645972647497,0.9388646288209607,-0.06608186004550899,0.5
Jakub Kiwior,Arsenal,DEF,CB,17,1117,65.70588235294117,1117,28.237370249686673,0.044438582434566914,0.08057296329453895,0.0,0.24171888988361684,0.08057296329453895,0.0,0.0,0.0,69.37332139659803,42.945389435989256,37.14413607878245,2.0948970456580125,0.4834377797672337,0.8057296329453895,0.0,8.137869292748434,4.189794091316025,0.0,0.0,0.08057296329453895,0.0,5.237242614145031,0.0,4.59265890778872,0.7251566696508505,0.24171888988361684,1.7726051924798567,4.270367054610564,2.1754700089525514,1.611459265890779,1.0474485228290062,0.0,0.0,0.0,0.08057296329453895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20877332155320233,0.5841584158415841,-0.3532634051739071,0.4900990099009901,-0.49351606899092265,0.3589108910891089,0.018178808390605438,0.6633663366336634,-0.2639391184138737,0.6534653465346535,0.0896579613697091,0.6386138613861386,0.026410064771242765,0.7326732673267327,0.6567642968210884,0.7797029702970297,-0.1284968812544475,0.15841584158415842,0.8261432692458861,0.7128712871287128,-0.3543773597633949,0.47029702970297027,0.0,0.5024752475247525,0.5494059984943083,0.8564356435643564,0.0,0.5024752475247525,0.0,0.5024752475247525,0.3011568272674865,0.698019801980198,-0.026206973336475217,0.5841584158415841,0.4749634064794197,0.7475247524752475,0.05877334478232949,0.6386138613861386,0.0,0.5024752475247525,0.0,0.5024752475247525,-0.38831213974501805,0.5099009900990099,-0.32073055299404907,0.2623762376237624,1.323555265301471,0.9158415841584159,-0.080789914628552,0.5396039603960396,-0.5824942621847187,0.27722772277227725,0.0,0.5024752475247525
Jorginho,Arsenal,MID,CM,15,702,46.8,702,6.590627042551321,-0.47440843323477994,0.0,0.0,0.2564102564102564,0.0,0.0,0.0,0.0,70.51282051282051,0.0,0.0,0.0,0.0,1.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1538461538461537,0.2564102564102564,0.0,0.0,1.5384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6410256410256411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7389200921886285,0.1965065502183406,-0.8325889001798349,0.1943231441048035,-0.7296935892400636,0.25327510917030566,-0.6185338274819643,0.22489082969432314,-0.5392877079963414,0.2576419213973799,-0.895263962464219,0.1943231441048035,-0.4458495119061839,0.16593886462882096,-0.7517580635012817,0.259825327510917,-0.09156791085645324,0.5240174672489083,-1.2238357679628047,0.1943231441048035,-0.9718844335128785,0.1943231441048035,-0.06608186004550896,0.5,-0.6924034164344611,0.2052401746724891,0.06608186004550895,0.5043668122270742,-0.06608186004550899,0.5,-0.7478670528803572,0.1943231441048035,-0.9488968908190677,0.1943231441048035,-0.8916623198539295,0.1943231441048035,-0.8715717698906819,0.1943231441048035,0.0,0.5021834061135371,-0.06608186004550898,0.5,-0.6249663334052545,0.2096069868995633,-1.0310733319592926,0.11790393013100436,-0.5921232566329494,0.259825327510917,-0.12592832003736384,0.39737991266375544,-0.5285943279565468,0.2423580786026201,-0.06608186004550899,0.5
